Filtered Traffic Details:
========================================
Time: 2024-12-13 03:47:45.945979, Protocol: TCP, Length: 54, Source: 150.171.73.254, Destination: 192.168.50.190
Time: 2024-12-13 03:47:47.925619, Protocol: TCP, Length: 54, Source: 104.18.32.47, Destination: 192.168.50.190
Time: 2024-12-13 03:47:47.925619, Protocol: TCP, Length: 93, Source: 104.18.32.47, Destination: 192.168.50.190
Time: 2024-12-13 03:47:47.925619, Protocol: TCP, Length: 54, Source: 104.18.32.47, Destination: 192.168.50.190
Time: 2024-12-13 03:47:47.956765, Protocol: TCP, Length: 117, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:47.957328, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:47.958597, Protocol: TCP, Length: 146, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:47.959106, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:47.960790, Protocol: TCP, Length: 54, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:47.960953, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:47.961824, Protocol: TCP, Length: 54, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:47.961955, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:47.979731, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 104.18.32.47
Time: 2024-12-13 03:47:47.999489, Protocol: TCP, Length: 444, Source: 104.18.32.47, Destination: 192.168.50.190
Time: 2024-12-13 03:47:47.999780, Protocol: TCP, Length: 132, Source: 104.18.32.47, Destination: 192.168.50.190
Time: 2024-12-13 03:47:47.999998, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 104.18.32.47
Time: 2024-12-13 03:47:48.002452, Protocol: TCP, Length: 89, Source: 192.168.50.190, Destination: 104.18.32.47
Time: 2024-12-13 03:47:48.062664, Protocol: TCP, Length: 54, Source: 104.18.32.47, Destination: 192.168.50.190
Time: 2024-12-13 03:47:48.601285, Protocol: TCP, Length: 66, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:48.601857, Protocol: TCP, Length: 66, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:48.602416, Protocol: TCP, Length: 139, Source: 192.168.50.190, Destination: 104.18.32.47
Time: 2024-12-13 03:47:48.602473, Protocol: TCP, Length: 93, Source: 192.168.50.190, Destination: 104.18.32.47
Time: 2024-12-13 03:47:48.602497, Protocol: TCP, Length: 1112, Source: 192.168.50.190, Destination: 104.18.32.47
Time: 2024-12-13 03:47:48.607179, Protocol: TCP, Length: 66, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:48.607274, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:48.607474, Protocol: TCP, Length: 56, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:48.607520, Protocol: TCP, Length: 86, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:48.608755, Protocol: TCP, Length: 66, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:48.608872, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:48.609100, Protocol: TCP, Length: 56, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:48.609166, Protocol: TCP, Length: 86, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:48.610191, Protocol: TCP, Length: 54, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:48.611884, Protocol: TCP, Length: 54, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:48.615080, Protocol: TCP, Length: 54, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:48.615627, Protocol: TCP, Length: 54, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:48.625234, Protocol: TCP, Length: 54, Source: 104.18.32.47, Destination: 192.168.50.190
Time: 2024-12-13 03:47:48.625803, Protocol: TCP, Length: 54, Source: 104.18.32.47, Destination: 192.168.50.190
Time: 2024-12-13 03:47:48.625803, Protocol: TCP, Length: 93, Source: 104.18.32.47, Destination: 192.168.50.190
Time: 2024-12-13 03:47:48.655750, Protocol: TCP, Length: 120, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:48.656035, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:48.661919, Protocol: TCP, Length: 149, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:48.662128, Protocol: TCP, Length: 54, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:48.662217, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:48.662255, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:48.665205, Protocol: TCP, Length: 54, Source: 104.18.32.47, Destination: 192.168.50.190
Time: 2024-12-13 03:47:48.666181, Protocol: TCP, Length: 54, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:48.666259, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:48.679910, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 104.18.32.47
Time: 2024-12-13 03:47:48.683715, Protocol: TCP, Length: 971, Source: 104.18.32.47, Destination: 192.168.50.190
Time: 2024-12-13 03:47:48.684152, Protocol: TCP, Length: 101, Source: 104.18.32.47, Destination: 192.168.50.190
Time: 2024-12-13 03:47:48.684152, Protocol: TCP, Length: 85, Source: 104.18.32.47, Destination: 192.168.50.190
Time: 2024-12-13 03:47:48.684243, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 104.18.32.47
Time: 2024-12-13 03:47:48.684642, Protocol: TCP, Length: 89, Source: 192.168.50.190, Destination: 104.18.32.47
Time: 2024-12-13 03:47:48.703003, Protocol: TCP, Length: 54, Source: 104.18.32.47, Destination: 192.168.50.190
Time: 2024-12-13 03:47:48.989525, Protocol: UDP, Length: 86, Source: 192.168.50.190, Destination: 192.168.50.255
Time: 2024-12-13 03:47:49.981832, Protocol: UDP, Length: 262, Source: 192.168.50.184, Destination: 239.255.255.250
Time: 2024-12-13 03:47:49.982175, Protocol: UDP, Length: 268, Source: 192.168.50.184, Destination: 239.255.255.250
Time: 2024-12-13 03:47:49.985078, Protocol: UDP, Length: 268, Source: 192.168.50.184, Destination: 239.255.255.250
Time: 2024-12-13 03:47:49.995770, Protocol: UDP, Length: 321, Source: 192.168.50.184, Destination: 239.255.255.250
Time: 2024-12-13 03:47:49.995770, Protocol: UDP, Length: 262, Source: 192.168.50.184, Destination: 239.255.255.250
Time: 2024-12-13 03:47:49.995770, Protocol: UDP, Length: 268, Source: 192.168.50.184, Destination: 239.255.255.250
Time: 2024-12-13 03:47:49.995770, Protocol: UDP, Length: 321, Source: 192.168.50.184, Destination: 239.255.255.250
Time: 2024-12-13 03:47:49.995770, Protocol: UDP, Length: 262, Source: 192.168.50.184, Destination: 239.255.255.250
Time: 2024-12-13 03:47:49.995770, Protocol: UDP, Length: 321, Source: 192.168.50.184, Destination: 239.255.255.250
Time: 2024-12-13 03:47:49.995770, Protocol: UDP, Length: 262, Source: 192.168.50.184, Destination: 239.255.255.250
Time: 2024-12-13 03:47:49.995770, Protocol: UDP, Length: 268, Source: 192.168.50.184, Destination: 239.255.255.250
Time: 2024-12-13 03:47:49.995770, Protocol: UDP, Length: 321, Source: 192.168.50.184, Destination: 239.255.255.250
Time: 2024-12-13 03:47:49.995770, Protocol: UDP, Length: 262, Source: 192.168.50.184, Destination: 239.255.255.250
Time: 2024-12-13 03:47:49.995770, Protocol: UDP, Length: 268, Source: 192.168.50.184, Destination: 239.255.255.250
Time: 2024-12-13 03:47:49.995770, Protocol: UDP, Length: 321, Source: 192.168.50.184, Destination: 239.255.255.250
Time: 2024-12-13 03:47:49.995770, Protocol: UDP, Length: 268, Source: 192.168.50.184, Destination: 239.255.255.250
Time: 2024-12-13 03:47:49.995770, Protocol: UDP, Length: 321, Source: 192.168.50.184, Destination: 239.255.255.250
Time: 2024-12-13 03:47:50.032454, Protocol: UDP, Length: 71, Source: 192.168.50.190, Destination: 142.251.186.95
Time: 2024-12-13 03:47:50.068807, Protocol: UDP, Length: 67, Source: 142.251.186.95, Destination: 192.168.50.190
Time: 2024-12-13 03:47:50.505978, Protocol: TCP, Length: 97, Source: 192.168.50.190, Destination: 35.186.224.46
Time: 2024-12-13 03:47:50.557717, Protocol: TCP, Length: 54, Source: 35.186.224.46, Destination: 192.168.50.190
Time: 2024-12-13 03:47:50.564943, Protocol: TCP, Length: 94, Source: 35.186.224.46, Destination: 192.168.50.190
Time: 2024-12-13 03:47:50.608557, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 35.186.224.46
Time: 2024-12-13 03:47:50.805652, Protocol: UDP, Length: 92, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:50.834017, Protocol: UDP, Length: 212, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:50.835094, Protocol: TCP, Length: 66, Source: 192.168.50.190, Destination: 20.42.73.31
Time: 2024-12-13 03:47:50.898767, Protocol: TCP, Length: 66, Source: 20.42.73.31, Destination: 192.168.50.190
Time: 2024-12-13 03:47:50.898887, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 20.42.73.31
Time: 2024-12-13 03:47:50.899171, Protocol: TCP, Length: 571, Source: 192.168.50.190, Destination: 20.42.73.31
Time: 2024-12-13 03:47:50.922564, Protocol: TCP, Length: 93, Source: 52.109.82.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:50.922931, Protocol: TCP, Length: 93, Source: 192.168.50.190, Destination: 52.109.82.1
Time: 2024-12-13 03:47:50.962966, Protocol: TCP, Length: 54, Source: 20.42.73.31, Destination: 192.168.50.190
Time: 2024-12-13 03:47:50.963873, Protocol: TCP, Length: 153, Source: 20.42.73.31, Destination: 192.168.50.190
Time: 2024-12-13 03:47:50.964953, Protocol: TCP, Length: 491, Source: 192.168.50.190, Destination: 20.42.73.31
Time: 2024-12-13 03:47:50.968198, Protocol: TCP, Length: 55, Source: 192.168.50.190, Destination: 142.251.186.188
Time: 2024-12-13 03:47:50.975139, Protocol: TCP, Length: 54, Source: 52.109.82.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:51.007461, Protocol: TCP, Length: 66, Source: 142.251.186.188, Destination: 192.168.50.190
Time: 2024-12-13 03:47:51.033777, Protocol: TCP, Length: 1514, Source: 20.42.73.31, Destination: 192.168.50.190
Time: 2024-12-13 03:47:51.033990, Protocol: TCP, Length: 1514, Source: 20.42.73.31, Destination: 192.168.50.190
Time: 2024-12-13 03:47:51.034207, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 20.42.73.31
Time: 2024-12-13 03:47:51.035499, Protocol: TCP, Length: 1514, Source: 20.42.73.31, Destination: 192.168.50.190
Time: 2024-12-13 03:47:51.035499, Protocol: TCP, Length: 204, Source: 20.42.73.31, Destination: 192.168.50.190
Time: 2024-12-13 03:47:51.035749, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 20.42.73.31
Time: 2024-12-13 03:47:51.037425, Protocol: TCP, Length: 1494, Source: 192.168.50.190, Destination: 20.42.73.31
Time: 2024-12-13 03:47:51.037425, Protocol: TCP, Length: 550, Source: 192.168.50.190, Destination: 20.42.73.31
Time: 2024-12-13 03:47:51.100728, Protocol: TCP, Length: 54, Source: 20.42.73.31, Destination: 192.168.50.190
Time: 2024-12-13 03:47:51.101363, Protocol: TCP, Length: 157, Source: 20.42.73.31, Destination: 192.168.50.190
Time: 2024-12-13 03:47:51.110841, Protocol: TCP, Length: 518, Source: 20.42.73.31, Destination: 192.168.50.190
Time: 2024-12-13 03:47:51.110972, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 20.42.73.31
Time: 2024-12-13 03:47:51.111472, Protocol: TCP, Length: 78, Source: 192.168.50.190, Destination: 20.42.73.31
Time: 2024-12-13 03:47:51.111500, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 20.42.73.31
Time: 2024-12-13 03:47:51.119203, Protocol: TCP, Length: 93, Source: 52.109.82.0, Destination: 192.168.50.190
Time: 2024-12-13 03:47:51.119526, Protocol: TCP, Length: 93, Source: 192.168.50.190, Destination: 52.109.82.0
Time: 2024-12-13 03:47:51.168088, Protocol: TCP, Length: 54, Source: 52.109.82.0, Destination: 192.168.50.190
Time: 2024-12-13 03:47:51.175395, Protocol: TCP, Length: 54, Source: 20.42.73.31, Destination: 192.168.50.190
Time: 2024-12-13 03:47:51.176302, Protocol: TCP, Length: 54, Source: 20.42.73.31, Destination: 192.168.50.190
Time: 2024-12-13 03:47:51.837396, Protocol: TCP, Length: 133, Source: 162.159.130.234, Destination: 192.168.50.190
Time: 2024-12-13 03:47:51.886147, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 162.159.130.234
Time: 2024-12-13 03:47:52.856210, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.858471, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.859699, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.861057, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.862315, Protocol: None, Length: 70, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.863362, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.863387, Protocol: None, Length: 70, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.865434, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.866132, Protocol: None, Length: 70, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.866935, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.868155, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.868805, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.869814, Protocol: None, Length: 70, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.870848, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.871430, Protocol: None, Length: 70, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.872942, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.873598, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.875005, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.875580, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.876700, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.877615, Protocol: TCP, Length: 58, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.879305, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.880054, Protocol: TCP, Length: 58, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.881380, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.882857, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.883628, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.885293, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.885841, Protocol: None, Length: 70, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.887419, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.888912, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.890398, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.890923, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.891422, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.891876, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.893907, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.895337, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.896101, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.897029, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.898521, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.899987, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.901389, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.902882, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.904683, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.906196, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.908321, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.909893, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.911089, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.911530, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.913013, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.914480, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.916070, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.919590, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.922602, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.926815, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.930524, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.930531, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.932527, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.933265, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.935456, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.936001, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.938060, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.938604, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.940712, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.941356, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.943216, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.943449, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.945022, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.946742, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.948356, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.949885, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.951534, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.953239, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.955251, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.956733, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.957349, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.958416, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.960435, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.961911, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.963230, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.963431, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.964955, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.966957, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.968499, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.970764, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.971351, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.973722, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.975724, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.975881, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.977092, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.977950, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.979070, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.981155, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.981205, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.983098, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.983958, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.985119, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:52.985344, Protocol: None, Length: 52, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:52.987136, Protocol: None, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
