Filtered UDP Traffic Details:
========================================
Time: 2024-12-09 23:06:09.837347, Protocol: UDP, Length: 90, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.795990, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.797470, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.798885, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.800419, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.802495, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.804740, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.806870, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.808989, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.810987, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.812652, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.815059, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.817134, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.819087, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.820983, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.823095, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.824971, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.827032, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.829351, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.831440, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.833443, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.834884, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.836442, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.838391, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.840295, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.842350, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.844475, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.846598, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.848925, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.850419, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.851869, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.853432, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.855750, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.857521, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.859894, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.861969, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.864104, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.866161, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.868896, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.870962, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.873034, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.874903, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.876969, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.879451, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.881329, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.883426, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.885243, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.887275, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.889280, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.891249, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.893306, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.895825, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.897344, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.899382, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.901395, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.903456, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.905519, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.907587, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.909921, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.911417, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.912929, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.914915, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.917093, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.918908, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.920875, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.922935, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.924994, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.927037, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.929116, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.931112, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.933135, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.935335, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.937421, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.939451, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.942037, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.943810, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.945713, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.947335, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.949408, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.951488, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.953581, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.955668, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.957717, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.959729, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.962238, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.963741, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.965675, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.968580, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.970652, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.972865, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.974386, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.976483, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.978656, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.980703, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.982618, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.984670, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.986650, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.988964, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.991686, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.994501, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.996636, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:20.999854, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.001944, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.004553, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.006901, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.009421, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.011975, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.014405, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.016476, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.018574, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.020700, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.022721, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.024803, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.026832, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.028924, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.030818, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.032845, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.034945, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.036428, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.038369, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.040412, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.042415, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.044399, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.046402, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.048440, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.050664, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.052719, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.054777, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.056817, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.058867, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.062279, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.064238, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.066276, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.068215, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.071043, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.073113, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.075223, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.077219, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.079286, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.081406, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.083593, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.085634, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.087661, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.089662, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.091742, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.093793, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.095868, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.098222, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.099769, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.101912, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.103982, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.105786, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.107838, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.109862, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.111930, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.114327, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.116230, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.118288, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.120263, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.122216, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.124283, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.126322, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.128884, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.130350, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.132372, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.134347, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.136372, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.138440, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.140418, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.142489, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.144539, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.146071, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.148065, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.150091, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.152100, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.154258, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.156305, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.158326, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-09 23:06:21.160909, Protocol: UDP, Length: 42, Source: 192.168.50.190, Destination: 192.168.50.1
